Exercise Name,Male Video Filename,Female Video Filename
Standing Triple Arm Cross,97111201-Standing-Triple-Arm-Cross-(male)_Chest_.mp4,94311201-Standing-Triple-Arm-Cross-(female)_Chest_.mp4
Standing Turn And Knee Raise,73331201-Standing-Turn-and-Knee-Raise-(male)_Plyometrics_.mp4,73511201-Standing-Turn-and-Knee-Raise-(female)_Plyometrics_.mp4
Standing Wheel Rollout,07961201-Standing-Wheel-Rollout_Waist.mp4,43241201-Standing-Wheel-Rollout-(female)_Waist.mp4
Standing Wide Good Morning,89681201-Standing-Wide-Good-Morning-(male)_Stretching_.mp4,87741201-Standing-Wide-Good-Morning-(female)_Stretching_.mp4
Standing Wrist Rotation,69781201-Standing-Wrist-Rotation-(male)_Forearms_.mp4,94771201-Standing-Wrist-Rotation-(female)_Forearms_.mp4
Stationary Arms Throw,96671201-Stationary-Arms-Throw-(male)_Back_.mp4,49421201-Stationary-Arms-Throw_Back_.mp4
Stationary Bike Run (Version 4),22791201-Stationary-Bike-Run-(version-4)_Cardio.mp4,71061201-Stationary-Bike-Run-(version-4)-(female)_Cardio_.mp4
Step Knee Thrust,57941201-Step-Knee-Thrust-(male)_Plyometrics_.mp4,66881201-Step-Knee-Thrust-(female)_Plyometrics_.mp4
Step Up On Box,94901201-Step-Up-on-Box_Thighs_.mp4,107241201-Step-Up-on-Box-(female)_Thighs_.mp4
Stepback Flap,86301201-Stepback-Flap-(male)_Plyometrics_.mp4,68541201-Stepback-Flap-(female)_Plyometrics_.mp4
Stepback Row,97721201-Stepback-Row-(male)_Plyometrics_.mp4,88371201-Stepback-Row-(female)_Plyometrics_.mp4
Stepback With Hands Raise,44341201-Stepback-with-Hands-Raise_Plyometrics.mp4,46391201-Stepback-with-Hands-Raise-(female)_Plyometrics.mp4
Stepback With Push,55891201-Stepback-with-Push-(Male)_Plyometrics_.mp4,66451201-Stepback-with-Push-(female)_Plyometrics_.mp4
Stepjack Front Raise,56391201-Stepjack-Front-Raise-(male)_Plyometrics_.mp4,56261201-Stepjack-Front-Raise-(female)_Plyometrics_.mp4
